url,headline,source,headline_clean,label,headline_length_words,headline_length_chars
https://www.nbcnews.com/news/weather/heavy-rain-rare-flooding-dubai-middle-east-rcna148056,Record floods hit desert city Dubai,NBC,Record floods hit desert city Dubai,0,6,35
https://www.nbcnews.com/politics/2024-election/live-blog/trump-harris-presidential-election-live-updates-rcna172156/rcrd56341?canonicalCard=true,Blinken says he's 'profoundly disappointed' over contempt vote,NBC,Blinken says he's 'profoundly disappointed' over contempt vote,0,8,62
https://www.foxnews.com/lifestyle/this-day-history-august-22-british-invade-brooklyn-sea,"On this day in history, August 22, 1776, the British invade Brooklyn by sea",FoxNews,"On this day in history, August 22, 1776, the British invade Brooklyn by sea",1,14,75
https://www.foxnews.com/media/skipping-super-bowl-sit-down-twice-biden-continues-months-long-streak-avoiding-serious-news-interviews,"Skipping the Super Bowl sit down twice, Biden continues months long streak of avoiding serious interviews",FoxNews,"Skipping the Super Bowl sit down twice, Biden continues months long streak of avoiding serious interviews",1,16,105
https://www.foxnews.com/health/americans-need-more-sleep-less-stress-experts-say-gallup-poll-reveals-troubling-findings,"Americans need more sleep, less stress, experts say, as Gallup poll reveals troubling findings",FoxNews,"Americans need more sleep, less stress, experts say, as Gallup poll reveals troubling findings",1,14,94
https://www.foxnews.com/lifestyle/meet-american-who-inspired-nation-two-world-wars-christian-soldier-sgt-alvin-york.print,Meet the American who inspired the nation in two world wars: Christian soldier Sgt. Alvin York,FoxNews,Meet the American who inspired the nation in two world wars: Christian soldier Sgt. Alvin York,1,16,94
https://www.foxnews.com/lifestyle/wisconsin-father-son-thank-military-heroes,Wisconsin father son duo thank America’s military heroes from the ‘bottom of our heart’,FoxNews,Wisconsin father son duo thank America’s military heroes from the ‘bottom of our heart’,1,14,87
https://www.nbcnews.com/news/nbcblk/maya-rudolph-nabs-sixth-emmy-angela-basset-wins-first-creative-arts-em-rcna170125,Maya Rudolph nabs sixth Emmy and Angela Basset wins her first at Creative Arts Emmys,NBC,Maya Rudolph nabs sixth Emmy and Angela Basset wins her first at Creative Arts Emmys,0,15,84
https://www.foxnews.com/us/killer-mom-susan-smith-disciplined-behind-bars-weeks-before-parole-hearing,Killer mom Susan Smith disciplined behind bars weeks before parole hearing,FoxNews,Killer mom Susan Smith disciplined behind bars weeks before parole hearing,1,11,74
https://www.nbcnews.com/select/shopping/best-vacuums-pet-hair-ncna1304554,Every pet owner should own one of these vacuums to keep your home fur free,NBC,Every pet owner should own one of these vacuums to keep your home fur free,0,15,74
